seed,seed_type,kind,rank,term,term_norm,value
deep research,concept,topic,rising,India,india,625000.0
deep research,concept,topic,rising,Market,market,562400.0
deep research,concept,topic,rising,Child,child,526500.0
deep research,concept,topic,rising,December,december,516800.0
deep research,concept,topic,rising,2022,2022,516800.0
deep research,concept,topic,rising,School,school,506100.0
deep research,concept,topic,rising,History,history,477600.0
deep research,concept,topic,rising,January,january,450800.0
deep research,concept,topic,rising,Türkiye,türkiye,448200.0
deep research,concept,topic,rising,Location,location,445650.0
deep research,concept,topic,rising,Japan,japan,445450.0
deep research,concept,topic,rising,City,city,436200.0
deep research,concept,topic,rising,Website,website,430750.0
deep research,concept,topic,rising,2021,2021,428650.0
deep research,concept,topic,rising,GitHub,github,414900.0
deep research,concept,topic,rising,Documentation,documentation,408000.0
deep research,concept,topic,rising,Apple,apple,402850.0
deep research,concept,topic,rising,April,april,385600.0
deep research,concept,topic,rising,Article,article,382300.0
deep research,concept,topic,rising,February,february,364600.0
claude code,tool,query,top,claude vs code,claude vs code,100.0
claude code,tool,query,top,claude code vs code,claude code vs code,98.0
claude code,tool,query,top,vs code,vs code,93.0
claude code,tool,query,top,claude code anthropic,claude code anthropic,93.0
claude code,tool,query,top,anthropic,anthropic,86.0
claude code,tool,query,top,anthropic claude,anthropic claude,86.0
claude code,tool,query,top,claude ai code,claude ai code,70.0
claude code,tool,query,top,claude ai,claude ai,70.0
claude code,tool,query,top,claude code price,claude code price,45.0
claude code,tool,query,top,claude price,claude price,45.0
claude code,tool,query,top,github claude code,github claude code,41.0
claude code,tool,query,top,github,github,39.0
claude code,tool,query,top,claude pro,claude pro,36.0
claude code,tool,query,top,claude code pro,claude code pro,36.0
claude code,tool,query,top,claude code review,claude code review,36.0
claude code,tool,query,top,claude code docs,claude code docs,35.0
claude code,tool,query,top,claude mcp,claude mcp,34.0
claude code,tool,query,top,claude code mcp,claude code mcp,34.0
claude code,tool,query,top,mcp,mcp,34.0
claude code,tool,query,top,claude api,claude api,33.0
claude code,tool,query,top,claude code api,claude code api,33.0
claude code,tool,query,top,claude pricing,claude pricing,32.0
claude code,tool,query,top,claude code pricing,claude code pricing,32.0
claude code,tool,query,top,what is claude code,what is claude code,31.0
claude code,tool,query,top,claude code app,claude code app,31.0
claude code,tool,query,rising,what is claude code,what is claude code,428200.0
claude code,tool,query,rising,claude code documentation,claude code documentation,425850.0
claude code,tool,query,rising,claude code cli,claude code cli,382300.0
claude code,tool,query,rising,claude code skills,claude code skills,362350.0
claude code,tool,query,rising,claude skills,claude skills,361450.0
claude code,tool,query,rising,skills claude,skills claude,360700.0
claude code,tool,query,rising,claude code news,claude code news,348550.0
claude code,tool,query,rising,claude code usage,claude code usage,203800.0
claude code,tool,query,rising,claude code agents,claude code agents,203150.0
claude code,tool,query,rising,claude code skill,claude code skill,195000.0
claude code,tool,query,rising,claude design,claude design,180200.0
claude code,tool,query,rising,claude subscription,claude subscription,152300.0
claude code,tool,query,rising,codex vs claude code,codex vs claude code,143000.0
claude code,tool,query,rising,claude code memory,claude code memory,133850.0
claude code,tool,query,rising,claude code limits,claude code limits,132250.0
claude code,tool,query,rising,claude code best practices,claude code best practices,131500.0
claude code,tool,query,rising,claude code prices,claude code prices,128550.0
claude code,tool,query,rising,opencode,opencode,125300.0
claude code,tool,query,rising,antigravity,antigravity,125200.0
claude code,tool,query,rising,claude code remote,claude code remote,124750.0
claude code,tool,query,rising,claude code mobile,claude code mobile,119850.0
claude code,tool,query,rising,claude code hooks,claude code hooks,115400.0
claude code,tool,query,rising,docker,docker,88300.0
claude code,tool,query,rising,claude cowork,claude cowork,86500.0
claude code,tool,query,rising,claude code tutorial,claude code tutorial,85750.0
claude code,tool,topic,top,Claude,claude,100.0
claude code,tool,topic,top,Code,code,83.0
claude code,tool,topic,top,Anthropic,anthropic,13.0
claude code,tool,topic,top,Artificial intelligence,artificial intelligence,11.0
claude code,tool,topic,top,GitHub,github,6.0
claude code,tool,topic,top,install,install,5.0
claude code,tool,topic,top,Review,review,5.0
claude code,tool,topic,top,Skill,skill,5.0
claude code,tool,topic,top,Application programming interface,application programming interface,5.0
claude code,tool,topic,top,Model Context Protocol,model context protocol,5.0
claude code,tool,topic,top,Visual Studio Code,visual studio code,5.0
claude code,tool,topic,top,Pricing,pricing,5.0
claude code,tool,topic,top,Documentation,documentation,4.0
claude code,tool,topic,top,United Kingdom,united kingdom,4.0
claude code,tool,topic,top,Command-line interface,command-line interface,4.0
claude code,tool,topic,top,2024,2024,4.0
claude code,tool,topic,top,Cost,cost,4.0
claude code,tool,topic,top,Germany,germany,4.0
claude code,tool,topic,top,Data,data,4.0
claude code,tool,topic,top,Company,company,4.0
claude code,tool,topic,top,March,march,3.0
claude code,tool,topic,top,Computer file,computer file,3.0
claude code,tool,topic,top,April,april,3.0
claude code,tool,topic,top,Plug-in,plug-in,3.0
claude code,tool,topic,rising,Documentation,documentation,409150.0
claude code,tool,topic,rising,United Kingdom,united kingdom,407600.0
claude code,tool,topic,rising,2024,2024,390050.0
claude code,tool,topic,rising,Company,company,350750.0
claude code,tool,topic,rising,March,march,313150.0
claude code,tool,topic,rising,April,april,299500.0
claude code,tool,topic,rising,Plug-in,plug-in,257050.0
claude code,tool,topic,rising,Market,market,243650.0
claude code,tool,topic,rising,2023,2023,237150.0
claude code,tool,topic,rising,Business,business,208750.0
claude code,tool,topic,rising,Security,security,207600.0
claude code,tool,topic,rising,Tax,tax,206800.0
claude code,tool,topic,rising,Management,management,201800.0
claude code,tool,topic,rising,Review,review,1000.0
claude code,tool,topic,rising,Skill,skill,600.0
claude code,tool,topic,rising,Germany,germany,500.0
claude code,tool,topic,rising,Data,data,300.0
claude code,tool,topic,rising,Model Context Protocol,model context protocol,200.0
claude code,tool,topic,rising,Cost,cost,150.0
claude code,tool,topic,rising,Anthropic,anthropic,150.0
claude code,tool,topic,rising,Pricing,pricing,120.0
claude code,tool,topic,rising,Command-line interface,command-line interface,40.0
prompt,concept,query,top,prompt ai,prompt ai,100.0
prompt,concept,query,top,chatgpt prompt,chatgpt prompt,75.0
prompt,concept,query,top,prompt engineering,prompt engineering,49.0
prompt,concept,query,top,prompt ia,prompt ia,43.0
prompt,concept,query,top,gemini prompt,gemini prompt,35.0
prompt,concept,query,top,image prompt,image prompt,32.0
prompt,concept,query,top,que es prompt,que es prompt,27.0
prompt,concept,query,top,prompt para chatgpt,prompt para chatgpt,26.0
prompt,concept,query,top,prompt gpt,prompt gpt,23.0
prompt,concept,query,top,claude prompt,claude prompt,22.0
prompt,concept,query,top,prompt de chatgpt,prompt de chatgpt,21.0
prompt,concept,query,top,system prompt,system prompt,20.0
prompt,concept,query,top,command prompt,command prompt,20.0
prompt,concept,query,top,prompt injection,prompt injection,20.0
prompt,concept,query,top,prompt para ia,prompt para ia,19.0
prompt,concept,query,top,image to prompt,image to prompt,18.0
prompt,concept,query,top,chat gpt prompt,chat gpt prompt,18.0
prompt,concept,query,top,prompts,prompts,17.0
prompt,concept,query,top,que es un prompt,que es un prompt,14.0
prompt,concept,query,top,banana prompt,banana prompt,14.0
prompt,concept,query,top,prompt generator,prompt generator,14.0
prompt,concept,query,top,prompt para gemini,prompt para gemini,13.0
prompt,concept,query,top,nano banana,nano banana,12.0
prompt,concept,query,top,prompt cowboy,prompt cowboy,8.0
prompt,concept,query,top,prompt para nano banana,prompt para nano banana,4.0
prompt,concept,query,rising,banana prompt,banana prompt,208750.0
prompt,concept,query,rising,nano banana,nano banana,177600.0
prompt,concept,query,rising,prompt cowboy,prompt cowboy,123900.0
prompt,concept,query,rising,prompt para nano banana,prompt para nano banana,52350.0
prompt,concept,query,rising,openai news,openai news,46300.0
prompt,concept,query,rising,nano banana pro,nano banana pro,40950.0
prompt,concept,query,rising,ai news today,ai news today,38950.0
prompt,concept,query,rising,prompt optimizer,prompt optimizer,33000.0
prompt,concept,query,rising,nano banana google,nano banana google,22350.0
prompt,concept,query,rising,nanobanana,nanobanana,22150.0
prompt,concept,query,rising,cowboy prompt ai,cowboy prompt ai,20600.0
prompt,concept,query,rising,sora 2,sora 2,16550.0
prompt,concept,query,rising,comet,comet,16450.0
prompt,concept,query,rising,prompt para fotos profesionales,prompt para fotos profesionales,15900.0
prompt,concept,query,rising,prompt para mejorar la calidad de una imagen,prompt para mejorar la calidad de una imagen,14300.0
prompt,concept,query,rising,mr prompt,mr prompt,9850.0
prompt,concept,query,rising,lidl near me,lidl near me,8700.0
prompt,concept,query,rising,min choi prompt,min choi prompt,8650.0
prompt,concept,query,rising,prompt cannon,prompt cannon,7650.0
prompt,concept,query,rising,humanizador de ia,humanizador de ia,7450.0
prompt,concept,query,rising,generador de prompts,generador de prompts,7250.0
prompt,concept,query,rising,openai prompt optimizer,openai prompt optimizer,7100.0
prompt,concept,query,rising,prompt chatgpt caricatura,prompt chatgpt caricatura,6900.0
prompt,concept,query,rising,technology news today,technology news today,5950.0
prompt,concept,query,rising,seedance 2,seedance 2,5850.0
prompt,concept,topic,top,command prompt,command prompt,100.0
prompt,concept,topic,top,Artificial intelligence,artificial intelligence,66.0
prompt,concept,topic,top,Image,image,36.0
prompt,concept,topic,top,Prompt engineering,prompt engineering,22.0
prompt,concept,topic,top,Gemini,gemini,18.0
prompt,concept,topic,top,Data,data,14.0
prompt,concept,topic,top,Review,review,14.0
prompt,concept,topic,top,2024,2024,13.0
prompt,concept,topic,top,Cost,cost,11.0
prompt,concept,topic,top,Germany,germany,11.0
prompt,concept,topic,top,Company,company,11.0
prompt,concept,topic,top,United Kingdom,united kingdom,11.0
prompt,concept,topic,top,Text,text,11.0
prompt,concept,topic,top,System,system,11.0
prompt,concept,topic,top,OpenAI,openai,11.0
prompt,concept,topic,top,Claude,claude,10.0
prompt,concept,topic,top,Application programming interface,application programming interface,10.0
prompt,concept,topic,top,Product,product,9.0
prompt,concept,topic,top,March,march,8.0
prompt,concept,topic,top,India,india,7.0
prompt,concept,topic,top,Tax,tax,7.0
prompt,concept,topic,top,Rate,rate,7.0
prompt,concept,topic,top,April,april,6.0
prompt,concept,topic,top,Banana,banana,6.0
prompt,concept,topic,top,February,february,6.0
prompt,concept,topic,rising,April,april,196700.0
prompt,concept,topic,rising,Reuters,reuters,102850.0
prompt,concept,topic,rising,Australia,australia,89200.0
prompt,concept,topic,rising,March,march,10150.0
prompt,concept,topic,rising,Banana,banana,6300.0
prompt,concept,topic,rising,Fee,fee,5250.0
prompt,concept,topic,rising,Germany,germany,4600.0
prompt,concept,topic,rising,India,india,4500.0
prompt,concept,topic,rising,February,february,4150.0
prompt,concept,topic,rising,Canada,canada,3700.0
prompt,concept,topic,rising,Poland,poland,3500.0
prompt,concept,topic,rising,Cowboy,cowboy,3500.0
prompt,concept,topic,rising,Israel,israel,3100.0
prompt,concept,topic,rising,Rate,rate,2900.0
prompt,concept,topic,rising,Safety,safety,2900.0
prompt,concept,topic,rising,Revenue,revenue,2600.0
prompt,concept,topic,rising,Statistics,statistics,2600.0
prompt,concept,topic,rising,Tax,tax,2450.0
prompt,concept,topic,rising,Income,income,2350.0
prompt,concept,topic,rising,Türkiye,türkiye,2300.0
prompt,concept,topic,rising,Russia,russia,2300.0
prompt,concept,topic,rising,2021,2021,2250.0
prompt,concept,topic,rising,United Kingdom,united kingdom,2050.0
prompt,concept,topic,rising,Review,review,2000.0
youtube,platform,query,top,youtube video,youtube video,100.0
youtube,platform,query,top,mp3 youtube,mp3 youtube,89.0
youtube,platform,query,top,youtube music,youtube music,82.0
youtube,platform,query,top,youtube videos,youtube videos,56.0
youtube,platform,query,top,descargar de youtube,descargar de youtube,36.0
youtube,platform,query,top,youtube musica,youtube musica,31.0
youtube,platform,query,top,descargar video youtube,descargar video youtube,24.0
youtube,platform,query,top,download youtube,download youtube,23.0
youtube,platform,query,top,convertidor youtube,convertidor youtube,22.0
youtube,platform,query,top,descargar mp3,descargar mp3,21.0
youtube,platform,query,top,descargar youtube mp3,descargar youtube mp3,20.0
youtube,platform,query,top,descargar videos youtube,descargar videos youtube,20.0
youtube,platform,query,top,descargar videos,descargar videos,19.0
youtube,platform,query,top,youtube music channel,youtube music channel,18.0
youtube,platform,query,top,youtube en español,youtube en español,17.0
youtube,platform,query,top,youtube mp4,youtube mp4,17.0
youtube,platform,query,top,descargar musica youtube,descargar musica youtube,16.0
youtube,platform,query,top,descargar musica,descargar musica,16.0
youtube,platform,query,top,convertidor youtube mp3,convertidor youtube mp3,16.0
youtube,platform,query,top,youtube app,youtube app,16.0
youtube,platform,query,top,youtube shorts,youtube shorts,10.0
youtube,platform,query,top,youtube studio,youtube studio,10.0
youtube,platform,query,top,youtube audio library,youtube audio library,1.0
youtube,platform,query,top,how to change youtube username,how to change youtube username,0.0
youtube,platform,query,top,youtube 💖,youtube,0.0
youtube,platform,query,rising,best coding youtube channels,best coding youtube channels,1250.0
youtube,platform,query,rising,how to change youtube username,how to change youtube username,1250.0
youtube,platform,query,rising,youtube 💖,youtube,600.0
youtube,platform,query,rising,youtube app,youtube app,140.0
youtube,platform,query,rising,youtube audio library,youtube audio library,90.0
youtube,platform,query,rising,youtube shorts,youtube shorts,90.0
youtube,platform,query,rising,youtube music channel,youtube music channel,70.0
youtube,platform,query,rising,youtube studio,youtube studio,70.0
youtube,platform,topic,top,YouTube,youtube,58.0
youtube,platform,topic,top,MP3,mp3,3.0
youtube,platform,topic,top,YouTube Music,youtube music,2.0
youtube,platform,topic,top,"Video downloader, save video",video downloader save video,0.0
youtube,platform,topic,rising,"Video downloader, save video",video downloader save video,1550.0
youtube,platform,topic,rising,YouTube,youtube,600.0
google,platform,query,top,maps google,maps google,100.0
google,platform,query,top,google traductor,google traductor,51.0
google,platform,query,top,translate google,translate google,25.0
google,platform,query,top,drive google,drive google,12.0
google,platform,query,top,google flights,google flights,12.0
google,platform,query,top,google fotos,google fotos,8.0
google,platform,query,top,traductor de google,traductor de google,8.0
google,platform,query,top,docs google,docs google,7.0
google,platform,query,top,google ai,google ai,7.0
google,platform,query,top,google earth,google earth,7.0
google,platform,query,top,gemini google,gemini google,6.0
google,platform,query,top,google play,google play,6.0
google,platform,query,top,google gmail,google gmail,6.0
google,platform,query,top,google documentos,google documentos,6.0
google,platform,query,top,google scholar,google scholar,5.0
google,platform,query,top,google pixel,google pixel,5.0
google,platform,query,top,google tiempo,google tiempo,5.0
google,platform,query,top,ia google,ia google,5.0
google,platform,query,top,documentos de google,documentos de google,5.0
google,platform,query,top,google traduction,google traduction,4.0
google,platform,query,top,google mapa,google mapa,4.0
